project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
wnl-icb-analytics__dbt-OLIDS,2025-06-05T23:11:38,72a2bdc90655fcaf50dbd05c3863fb58bffee8fb,deleted empty test,152,0,False,,,0.0,0.0,0.0,0.0,0.0,152,0.006579,1.0,0,61,81,10,152,1,0,0,0,0,0,0,0,0.0,0.0
wnl-icb-analytics__dbt-OLIDS,2025-07-03T16:06:37,610bb7d4435fc68d53e1f4d0e22d55b9765502ed,fix: correct field references for demographic data in PowerBI dashboard tables,257,480,False,0.6428571428571429,7,0.6842894675579501,0.14052027724007712,0.0037631327024935544,0.63309940677315,1.0544747081712063,48,0.809339,0.175097,48,114,95,0,257,1,468,12,24,6,216,216,198,0.840467,0.840467
wnl-icb-analytics__dbt-OLIDS,2025-07-28T19:40:07,ba49a48c9016831189af0958f14eb973dca56849,feat: enhance flu vaccination models with dual-campaign support and uptake analysis,278,492,False,0.5714285714285714,7,0.6984238435077763,0.11573313963468174,0.0028068844267663887,0.5122867411156026,0.9460431654676259,49,0.820144,0.165468,49,127,102,0,278,1,480,12,24,0,208,208,204,0.748201,0.748201
wnl-icb-analytics__dbt-OLIDS,2025-09-02T16:25:38,d8c6e9fd9d22481dd8e2464e8318f51ffe788e97,Merge branch 'main' into pop-health-needs-1,414,613,False,0.5714285714285714,7,0.788657524065505,0.14451242486776475,0.0030652491073973067,0.7060233366454602,0.8502415458937198,153,0.625604,0.359903,154,140,120,0,414,1,602,11,22,0,391,270,239,0.944444,0.652174
wnl-icb-analytics__dbt-OLIDS,2025-09-18T22:53:06,6d65d31eaa33a150340072042906ca35a56145c2,fix: correct model references and add connection info display,482,758,False,0.5714285714285714,10,0.8051961350493931,0.0852521466477756,0.001351852154426808,0.8087529282104715,0.8526970954356846,135,0.707469,0.263485,178,163,128,13,482,1,747,11,22,0,476,296,290,0.987552,0.614108
wnl-icb-analytics__dbt-OLIDS,2025-10-31T17:32:37,197064156a0be7dcd4dddbb078daf96da05c51a1,feat: add POSTCODE_HASH reference table and update clone databases,59,87,False,0.6428571428571429,9,0.8458543289051763,0.3591349570084962,0.01684480342955866,0.8130442935351561,0.576271186440678,6,0.830508,0.0,29,1,0,29,59,1,87,0,0,0,58,0,3,0.983051,0.0
wnl-icb-analytics__dbt-OLIDS,2025-12-12T22:39:20,c8821cd7f9b3c6c67896d5f364b8dcd699bec4d0,feat: add comprehensive dbt data quality tests and align models with Alpha schema,59,74,False,0.7142857142857143,10,0.8472189066603008,0.34987404791898,0.01657309577648342,0.45826190998429056,0.3728813559322034,7,0.79661,0.0,29,1,0,29,59,1,74,0,0,0,58,18,3,0.983051,0.305085
wnl-icb-analytics__dbt-OLIDS,2026-01-23T23:09:00,dbb9de15714d1166696dcadf4a61bc916be0e28a,style: normalise line endings in sources.yml,59,74,False,0.7142857142857143,10,0.8472189066603008,0.34987404791898,0.01657309577648342,0.458261909981138,0.3728813559322034,7,0.79661,0.0,29,1,0,29,59,1,74,0,0,0,58,18,3,0.983051,0.305085
wnl-icb-analytics__dbt-OLIDS,2026-02-23T12:16:52,eca55a129a240d81525808a5ab28fdaf44d07c21,fix: correct datetime column names to match deployed schema,59,74,False,0.7142857142857143,10,0.8472189066603008,0.34987404791898,0.01657309577648342,0.45826190998380667,0.3728813559322034,7,0.79661,0.0,29,1,0,29,59,1,74,0,0,0,58,18,3,0.983051,0.305085
wnl-icb-analytics__dbt-OLIDS,2026-03-27T19:41:35,cf6588260776900031104960570b92c1f85b60f6,feat: add enriched concept map with EMIS reference fallback,62,76,False,0.7142857142857143,10,0.8522761531504371,0.34661182076696345,0.016415985063629908,0.5409613868463173,0.3548387096774194,8,0.790323,0.016129,31,2,0,29,62,1,76,0,0,0,58,18,3,0.935484,0.290323
