asset_id,asset_type,in_degree,out_degree,total_degree,df_in_degree,df_out_degree,pc_child_count,pagerank_df,pagerank_df_reverse,betweenness_df,descendants_df,ancestors_df,clustering,graph,is_core
4d7895e6-6376-401d-9164-792eb4327195,Data Table,0,20,20,0,4,16,0.0030901425354892776,0.02072170181734398,0.0,13,0,0,DLG1,1
e4e5ffbf-bf2e-4a46-ae0c-5f8f73aab24f,Data Table,2,34,36,2,0,34,0.01287765119844514,0.003081586603883224,0.0,0,5,0,DLG1,0
9c90a1f6-5d00-4edf-b99b-a5e45efdc5d6,Data Table,1,20,21,1,2,18,0.006274485791418743,0.010546126443760667,6.825006825006825e-05,3,2,0,DLG1,0
ab7ef906-c6f3-4528-9c55-fa564bfc376c,Data Table,1,14,15,1,0,14,0.009063976677841494,0.003081586603883224,0.0,0,3,0,DLG1,0
c93892ca-a6bc-4f0f-a82e-f61915101220,Data Table,0,7,7,0,1,6,0.0030901425354892776,0.004696668943815888,0.0,2,0,0,DLG1,0
aa80392a-a482-40e2-8ed8-048064eccb5f,Data Table,0,16,16,0,2,14,0.0030901425354892776,0.007119292453714884,0.0,4,0,0,DLG1,0
1e21328a-da9e-4e63-8dc8-05e3fe2af2f2,Data Table,0,5,5,0,1,4,0.0030901425354892776,0.0055042101137822205,0.0,2,0,0,DLG1,0
c55e1828-6b17-4bbb-b7b5-03d3c794eddd,Data Table,1,16,17,1,0,16,0.009621874855126045,0.003081586603883224,0.0,0,4,0,DLG1,1
378f4bc8-702f-45b7-b15a-3ea7a3cf6b88,Data Table,1,18,19,1,1,17,0.007390282145987843,0.007926833623681215,6.825006825006825e-05,2,3,0,DLG1,0
fec8336b-bf01-4c56-92dc-b7d16c6dae79,Data Table,1,17,18,1,0,17,0.011061037756782723,0.003081586603883224,0.0,0,5,0,DLG1,0
906e9ab0-cf59-4179-8158-257b9facaa9f,Data Table,1,22,23,1,0,22,0.006832383968703292,0.003081586603883224,0.0,0,2,0,DLG1,0
c57c49f1-3e41-43dc-8346-defdaa9d3270,Data Table,0,22,22,0,2,20,0.0030901425354892776,0.012099961555011498,0.0,6,0,0,DLG1,0
332f595e-a63c-40d4-9e03-e37665407e56,Data Table,0,30,30,0,1,29,0.0030901425354892776,0.004696668943815888,0.0,2,0,0,DLG1,0
35152af4-9211-4a5e-abca-feb49c70743d,Data Table,1,16,17,1,0,16,0.010737671209695144,0.003081586603883224,0.0,0,4,0,DLG1,1
03f4cb30-9870-4c1c-9590-8e867fc06ee5,Data Table,0,32,32,0,1,31,0.0030901425354892776,0.004696668943815888,0.0,2,0,0,DLG1,0
e9fb6c0a-8378-4841-bf4d-7f9080bdbd59,Data Table,0,18,18,0,1,17,0.0018843173883764301,0.002684361999326539,0.0,6,0,0,DLG2,0
783ba88f-86a9-463d-a329-7be8a122a452,Data Table,1,20,21,1,1,19,0.018217681051771562,0.0035905164875151673,0.00014959842173665067,2,16,0,DLG2,1
b78a3c55-2c0d-4f72-b4eb-24bccbd6620c,Data Table,0,48,48,0,1,47,0.0018843173883764301,0.002684361999326539,0.0,6,0,0,DLG2,0
3f240cbb-6e9f-4402-955a-9d54780241c3,Data Table,1,5,6,1,1,4,0.013011543200220747,0.004162400482245209,0.00014959842173665067,4,8,0,DLG2,0
