component_id,node_count,edge_count,domain_count,layer_count,is_self_contained
component_001,185,262,25,3,true
component_002,2,1,2,2,true
component_003,1,0,1,1,true
component_004,1,0,1,1,true
component_005,1,0,1,1,true
component_006,1,0,1,1,true
component_007,1,0,1,1,true
component_008,1,0,1,1,true
component_009,1,0,1,1,true
component_010,1,0,1,1,true
component_011,1,0,1,1,true
component_012,1,0,1,1,true
component_013,1,0,1,1,true
component_014,1,0,1,1,true
component_015,1,0,1,1,true
component_016,1,0,1,1,true
component_017,1,0,1,1,true
component_018,1,0,1,1,true
component_019,1,0,1,1,true
component_020,1,0,1,1,true
component_021,1,0,1,1,true
component_022,1,0,1,1,true
component_023,1,0,1,1,true
component_024,1,0,1,1,true
component_025,1,0,1,1,true
component_026,1,0,1,1,true
component_027,1,0,1,1,true
component_028,1,0,1,1,true
component_029,1,0,1,1,true
component_030,1,0,1,1,true
component_031,1,0,1,1,true
component_032,1,0,1,1,true
component_033,1,0,1,1,true
component_034,1,0,1,1,true
component_035,1,0,1,1,true
component_036,1,0,1,1,true
component_037,1,0,1,1,true
component_038,1,0,1,1,true
