domain_or_team_owner,node_count,documentation_coverage,test_coverage
domain_1,35,0.9143,0.8571
domain_14,26,0.0385,0.0
domain_18,20,0.5,0.0
domain_19,15,1.0,0.0
domain_20,14,0.2143,0.0
domain_21,14,0.4286,0.0
domain_22,14,0.1429,0.0
domain_17,10,0.1,0.0
domain_26,9,0.6667,0.0
domain_10,7,1.0,0.0
domain_2,6,0.0,0.0
domain_25,6,0.1667,0.0
domain_5,6,0.0,0.0
domain_23,5,1.0,0.0
domain_24,5,1.0,0.0
domain_4,5,0.0,0.0
domain_6,5,0.0,0.0
domain_9,5,0.0,0.0
domain_16,4,0.0,0.0
domain_15,3,0.0,0.0
domain_8,3,0.0,0.0
domain_7,2,0.0,0.0
domain_11,1,1.0,0.0
domain_12,1,1.0,0.0
domain_13,1,0.0,0.0
domain_3,1,0.0,0.0
