source_node_id,target_node_id
node_02b883b4392e74abef,node_046b3179c6c17781f9
node_02b883b4392e74abef,node_28c4fd9240619344e9
node_02b883b4392e74abef,node_3b669c28424e47694c
node_02b883b4392e74abef,node_5335e61573c165d847
node_02b883b4392e74abef,node_6067a416d3dcdc54f7
node_02b883b4392e74abef,node_7dfa1002c6de8d569a
node_02b883b4392e74abef,node_93cd55c6eb918a26c1
node_02b883b4392e74abef,node_a1f696b09e255ecd88
node_02b883b4392e74abef,node_a3d86829e9b4c7eb71
node_02b883b4392e74abef,node_a5b17497d92846e317
node_02b883b4392e74abef,node_b4d14bb2dcdbe30264
node_02d84558dc3a008c82,node_046b3179c6c17781f9
node_02d84558dc3a008c82,node_6b0807ba48f0771bfa
node_038ba1e1a0b590e605,node_c72ed5dad59fbb73d2
node_05a74c9c10b4ba36ba,node_a145991dc9c5acb089
node_06e0b9e20b3e99207a,node_fea00c7042f6455e49
node_06edbc77119938283d,node_fea00c7042f6455e49
node_09c4f1810fdc003bdf,node_304d9e765cadb2b8bd
node_0a4c27624bb9a1f010,node_2784dcf61244234f18
node_0b005806d46a49a32d,node_45a7e210d40ddced19
node_0b005806d46a49a32d,node_fa08a1c0d5d9587032
node_0c517e2a1e268995fe,node_6b0807ba48f0771bfa
node_0d8a49108e44ec275b,node_09c4f1810fdc003bdf
node_0f652521461d942684,node_380a1aa96e72d8a44b
node_0fe4935d49ab41a36f,node_999f5a241309c40bd4
node_116ddb397b7dbcbfb8,node_3b669c28424e47694c
node_11b3e4c1c53b6a5448,node_446f4a151dc1d84627
node_11b3e4c1c53b6a5448,node_8df7b1442ba83c6273
node_12003b92e1aa2ff8ee,node_3b669c28424e47694c
node_12003b92e1aa2ff8ee,node_6067a416d3dcdc54f7
node_13ce1a2480148b4774,node_6e76b6300582e3195d
node_15660ed9c03dc1d857,node_a1f696b09e255ecd88
node_16e062c30bc8d4f913,node_d42fe7ef045a9f3ccd
node_1c298e15ed207d6318,node_c3fb429f0a6028d66a
node_1d2a8523f712121c55,node_fea00c7042f6455e49
node_1ec72d2226b89f82c1,node_38384386fff5c76576
node_20476864e2a088a0ba,node_304d9e765cadb2b8bd
node_216119b1a9a4fa49b7,node_999f5a241309c40bd4
node_216119b1a9a4fa49b7,node_deeaf6f23aad064080
node_22bcb8cbb3bea63851,node_774fb57c1ee45e7af1
node_247d6b9e9ec6c256bf,node_86da787f81881ebd23
node_26d334b818533d57d3,node_fea00c7042f6455e49
node_2779051b8e23258c80,node_fea00c7042f6455e49
node_2784dcf61244234f18,node_f42de5bf10dc7dcdfd
node_2821c7fbedd867c88c,node_deeaf6f23aad064080
node_28c4fd9240619344e9,node_6067a416d3dcdc54f7
node_28fc76a3992f8138e5,node_380a1aa96e72d8a44b
node_292066b2765e8adcfc,node_462c621a25b035bda0
node_2a3fbda9ed3327a11c,node_fea00c7042f6455e49
node_2b339f2f6654807b21,node_fea00c7042f6455e49
node_2cb4a44d43d26db4bc,node_727daa9b56921ff68e
node_2ce4fe2138d3c2dbed,node_2784dcf61244234f18
node_2fe97210f9d50d8a6e,node_5d5b96e21775aa6523
node_304d9e765cadb2b8bd,node_15660ed9c03dc1d857
node_304d9e765cadb2b8bd,node_2784dcf61244234f18
node_32a8bb332fa3b35644,node_c4370c42de96bec3f2
node_32a8bb332fa3b35644,node_c72ed5dad59fbb73d2
node_32a8bb332fa3b35644,node_ef6fde78308806a692
node_32f9c2c190dad20b51,node_fea00c7042f6455e49
node_346155ac2ba8188f68,node_02d84558dc3a008c82
node_3690c9b6686b874488,node_0c517e2a1e268995fe
node_3737f1a0fcb6a8143a,node_20476864e2a088a0ba
node_380a1aa96e72d8a44b,node_f42de5bf10dc7dcdfd
node_38384386fff5c76576,node_4b94789fcd2b47e91c
node_38384386fff5c76576,node_a3d86829e9b4c7eb71
node_38384386fff5c76576,node_dac776c446644ddc46
node_3b669c28424e47694c,node_5335e61573c165d847
node_3b669c28424e47694c,node_860469fb558baa9ad2
node_3be5b74e945493f8ce,node_fea00c7042f6455e49
