node_id,layer,domain_or_team_owner,has_steward,has_tests,test_count,has_documentation
node_02b883b4392e74abef,gold/mart,domain_012,false,true,4,true
node_02d84558dc3a008c82,silver/intermediate,domain_017,false,false,0,false
node_038ba1e1a0b590e605,source/raw,domain_021,false,false,0,true
node_0406267669b1dc2369,source/raw,domain_021,false,false,0,false
node_046b3179c6c17781f9,silver/intermediate,domain_010,false,false,0,false
node_05a74c9c10b4ba36ba,source/raw,domain_007,false,false,0,false
node_06e0b9e20b3e99207a,source/raw,domain_003,false,false,0,false
node_06edbc77119938283d,source/raw,domain_005,false,false,0,false
node_09c4f1810fdc003bdf,silver/intermediate,domain_016,false,false,0,false
node_0a4c27624bb9a1f010,source/raw,domain_001,false,false,0,true
node_0b005806d46a49a32d,gold/mart,domain_012,false,true,1,true
node_0c517e2a1e268995fe,silver/intermediate,domain_017,false,false,0,false
node_0d8a49108e44ec275b,source/raw,domain_001,false,false,0,true
node_0f652521461d942684,source/raw,domain_023,false,false,0,false
node_0fe4935d49ab41a36f,source/raw,domain_024,false,false,0,true
node_116ddb397b7dbcbfb8,silver/intermediate,domain_013,false,false,0,false
node_11b3e4c1c53b6a5448,source/raw,domain_025,false,false,0,true
node_12003b92e1aa2ff8ee,gold/mart,domain_012,false,true,1,true
node_13ce1a2480148b4774,gold/mart,domain_012,false,true,2,true
node_15660ed9c03dc1d857,gold/mart,domain_012,false,true,1,true
node_1612b2b6481bbf84ca,source/raw,domain_011,false,false,0,false
node_16e062c30bc8d4f913,source/raw,domain_020,false,false,0,true
node_1c298e15ed207d6318,source/raw,domain_004,false,false,0,false
node_1d2a8523f712121c55,source/raw,domain_009,false,false,0,false
node_1ec72d2226b89f82c1,source/raw,domain_004,false,false,0,false
node_1ef88ad323fc6824ef,gold/mart,domain_012,false,false,0,false
node_20288beb08e34db312,source/raw,domain_024,false,false,0,true
node_20476864e2a088a0ba,silver/intermediate,domain_016,false,false,0,false
node_216119b1a9a4fa49b7,source/raw,domain_024,false,false,0,true
node_22bcb8cbb3bea63851,source/raw,domain_004,false,false,0,false
node_2443d214b1157edcea,source/raw,domain_009,false,false,0,false
node_247d6b9e9ec6c256bf,source/raw,domain_004,false,false,0,false
node_26d334b818533d57d3,source/raw,domain_011,false,false,0,false
node_2761c0dd6e836e1d6d,source/raw,domain_024,false,false,0,true
node_2779051b8e23258c80,source/raw,domain_011,false,false,0,false
node_2784dcf61244234f18,silver/intermediate,domain_018,false,false,0,false
node_2821c7fbedd867c88c,source/raw,domain_024,false,false,0,true
node_28c4fd9240619344e9,gold/mart,domain_012,false,true,6,true
node_28fc76a3992f8138e5,source/raw,domain_023,false,false,0,true
node_292066b2765e8adcfc,source/raw,domain_005,false,false,0,true
node_2a3fbda9ed3327a11c,source/raw,domain_008,false,false,0,false
node_2b339f2f6654807b21,source/raw,domain_005,false,false,0,false
node_2cb4a44d43d26db4bc,source/raw,domain_004,false,false,0,false
node_2ce4fe2138d3c2dbed,source/raw,domain_002,false,false,0,true
node_2d0ffec286506a2891,source/raw,domain_009,false,false,0,false
node_2fe97210f9d50d8a6e,source/raw,domain_015,false,false,0,false
node_304d9e765cadb2b8bd,silver/intermediate,domain_016,false,false,0,false
node_32a8bb332fa3b35644,source/raw,domain_021,false,false,0,true
node_32f9c2c190dad20b51,source/raw,domain_003,false,false,0,false
node_346155ac2ba8188f68,source/raw,domain_015,false,false,0,false
node_3690c9b6686b874488,source/raw,domain_019,false,false,0,true
node_3737f1a0fcb6a8143a,source/raw,domain_011,false,false,0,false
node_380a1aa96e72d8a44b,silver/intermediate,domain_018,false,false,0,false
node_38384386fff5c76576,gold/mart,domain_012,false,true,1,true
