source,target,type
person,location,fk
person,provider,fk
person,care_site,fk
person,concept,fk
visit_occurrence,person,fk
visit_occurrence,care_site,fk
visit_occurrence,provider,fk
visit_occurrence,concept,fk
visit_detail,visit_occurrence,fk
visit_detail,person,fk
visit_detail,care_site,fk
visit_detail,provider,fk
condition_occurrence,person,fk
condition_occurrence,visit_occurrence,fk
condition_occurrence,provider,fk
condition_occurrence,concept,fk
drug_exposure,person,fk
drug_exposure,visit_occurrence,fk
drug_exposure,provider,fk
drug_exposure,concept,fk
procedure_occurrence,person,fk
procedure_occurrence,visit_occurrence,fk
procedure_occurrence,provider,fk
procedure_occurrence,concept,fk
device_exposure,person,fk
device_exposure,visit_occurrence,fk
device_exposure,provider,fk
device_exposure,concept,fk
measurement,person,fk
measurement,visit_occurrence,fk
measurement,provider,fk
measurement,concept,fk
observation,person,fk
observation,visit_occurrence,fk
observation,provider,fk
observation,concept,fk
death,person,fk
death,concept,fk
note,person,fk
note,visit_occurrence,fk
note,provider,fk
note,concept,fk
note_nlp,note,fk
note_nlp,concept,fk
specimen,person,fk
specimen,concept,fk
episode,person,fk
episode,concept,fk
episode_event,episode,fk
observation_period,person,fk
care_site,location,fk
care_site,concept,fk
provider,care_site,fk
provider,concept,fk
payer_plan_period,person,fk
payer_plan_period,concept,fk
cost,concept,fk
drug_era,person,fk
drug_era,concept,fk
dose_era,person,fk
dose_era,concept,fk
condition_era,person,fk
condition_era,concept,fk
concept,vocabulary,fk
concept,domain,fk
concept,concept_class,fk
concept_relationship,concept,fk
concept_relationship,relationship,fk
concept_ancestor,concept,fk
concept_synonym,concept,fk
source_to_concept_map,concept,fk
source_to_concept_map,vocabulary,fk
drug_strength,concept,fk
fact_relationship,concept,fk
drug_exposure,drug_era,derived_from
drug_exposure,dose_era,derived_from
condition_occurrence,condition_era,derived_from
note,note_nlp,derived_from
episode,episode_event,derived_from
concept,condition_occurrence,derived_from
concept,drug_exposure,derived_from
concept,procedure_occurrence,derived_from
concept,measurement,derived_from
concept,observation,derived_from
concept,device_exposure,derived_from
concept,visit_occurrence,derived_from
concept,death,derived_from
concept,specimen,derived_from
concept,episode,derived_from
source_to_concept_map,person,derived_from
source_to_concept_map,condition_occurrence,derived_from
source_to_concept_map,drug_exposure,derived_from
source_to_concept_map,procedure_occurrence,derived_from
source_to_concept_map,measurement,derived_from
source_to_concept_map,observation,derived_from
