node_id,category
person,clinical
observation_period,clinical
visit_occurrence,clinical
visit_detail,clinical
condition_occurrence,clinical
drug_exposure,clinical
procedure_occurrence,clinical
device_exposure,clinical
measurement,clinical
observation,clinical
death,clinical
note,clinical
note_nlp,clinical
specimen,clinical
fact_relationship,clinical
episode,clinical
episode_event,clinical
location,other
care_site,other
provider,other
payer_plan_period,other
cost,other
drug_era,derived
dose_era,derived
condition_era,derived
concept,vocabulary
vocabulary,vocabulary
domain,vocabulary
concept_class,vocabulary
concept_relationship,vocabulary
relationship,vocabulary
concept_synonym,vocabulary
concept_ancestor,vocabulary
source_to_concept_map,vocabulary
drug_strength,vocabulary
cdm_source,other
metadata,other
