source,target,type
DimAccount,DimBroker,fk
DimAccount,DimCustomer,fk
DimSecurity,DimCompany,fk
DimTrade,DimBroker,fk
DimTrade,DimDate,fk
DimTrade,DimTime,fk
DimTrade,DimDate,fk
DimTrade,DimTime,fk
DimTrade,DimSecurity,fk
DimTrade,DimCompany,fk
DimTrade,DimCustomer,fk
DimTrade,DimAccount,fk
FactCashBalances,DimCustomer,fk
FactCashBalances,DimAccount,fk
FactCashBalances,DimDate,fk
FactHoldings,DimCustomer,fk
FactHoldings,DimAccount,fk
FactHoldings,DimSecurity,fk
FactHoldings,DimCompany,fk
FactHoldings,DimDate,fk
FactHoldings,DimTime,fk
FactMarketHistory,DimSecurity,fk
FactMarketHistory,DimCompany,fk
FactMarketHistory,DimDate,fk
FactWatches,DimCustomer,fk
FactWatches,DimSecurity,fk
FactWatches,DimDate,fk
Financial,DimCompany,fk
HR.csv,DimBroker,lineage
CustomerMgmt.xml,DimCustomer,lineage
CustomerMgmt.xml,DimAccount,lineage
FINWIRE,DimCompany,lineage
FINWIRE,DimSecurity,lineage
FINWIRE,Financial,lineage
Trade.txt,DimTrade,lineage
TradeHistory.txt,DimTrade,lineage
Trade.txt,FactHoldings,lineage
WatchHistory.txt,FactWatches,lineage
CashTransaction.txt,FactCashBalances,lineage
DailyMarket.txt,FactMarketHistory,lineage
Date.txt,DimDate,lineage
Time.txt,DimTime,lineage
StatusType.txt,StatusType,lineage
TaxRate.txt,TaxRate,lineage
TradeType.txt,TradeType,lineage
Industry.txt,Industry,lineage
