node_id,type
DimBroker,dim
DimCustomer,dim
DimAccount,dim
DimCompany,dim
DimDate,dim
DimSecurity,dim
DimTime,dim
DimTrade,dim
FactCashBalances,fact
FactHoldings,fact
FactMarketHistory,fact
FactWatches,fact
Financial,ref
Industry,ref
StatusType,ref
TaxRate,ref
TradeType,ref
FINWIRE,source
TaxRate.txt,source
Date.txt,source
Trade.txt,source
WatchHistory.txt,source
DailyMarket.txt,source
CustomerMgmt.xml,source
Time.txt,source
TradeType.txt,source
HR.csv,source
CashTransaction.txt,source
TradeHistory.txt,source
Industry.txt,source
StatusType.txt,source
