source_node_id,target_node_id
n00001,n00035
n00002,n00034
n00003,n00034
n00004,n00044
n00004,n00048
n00005,n00045
n00006,n00046
n00006,n00048
n00007,n00047
n00008,n00046
n00008,n00047
n00009,n00047
n00010,n00049
n00011,n00049
n00012,n00043
n00013,n00040
n00014,n00041
n00015,n00030
n00015,n00032
n00016,n00030
n00016,n00031
n00017,n00031
n00017,n00032
n00018,n00031
n00018,n00032
n00019,n00031
n00019,n00032
n00020,n00038
n00021,n00036
n00022,n00037
n00023,n00033
n00024,n00042
n00025,n00039
n00026,n00039
n00027,n00050
n00028,n00050
n00029,n00050
n00030,n00059
n00031,n00060
n00032,n00061
n00033,n00064
n00034,n00051
n00035,n00051
n00036,n00062
n00037,n00062
n00038,n00062
n00039,n00066
n00040,n00056
n00041,n00058
n00042,n00065
n00043,n00063
n00044,n00052
n00045,n00057
n00045,n00079
n00046,n00052
n00047,n00052
n00048,n00062
n00049,n00055
n00049,n00085
n00050,n00067
n00051,n00054
n00052,n00053
n00052,n00054
n00053,n00054
n00054,n00055
n00055,n00056
n00056,n00057
n00057,n00058
n00058,n00059
n00059,n00060
n00060,n00061
n00061,n00062
n00062,n00063
n00063,n00064
n00064,n00065
n00065,n00066
n00066,n00067
n00067,n00068
n00068,n00069
n00069,n00070
n00069,n00071
n00069,n00074
n00070,n00072
n00071,n00072
n00072,n00073
n00072,n00076
n00073,n00075
n00074,n00079
n00076,n00077
n00076,n00078
n00076,n00080
n00076,n00081
n00076,n00082
n00076,n00083
n00076,n00084
n00076,n00085
n00076,n00086
