node_id,layer,domain_or_team_owner,has_steward,has_tests,test_count,has_documentation
n00001,source/raw,domain_1,false,false,0,false
n00002,source/raw,domain_1,false,false,0,false
n00003,source/raw,domain_1,false,false,0,false
n00004,source/raw,domain_2,false,false,0,false
n00005,source/raw,domain_2,false,false,0,false
n00006,source/raw,domain_2,false,false,0,false
n00007,source/raw,domain_2,false,false,0,false
n00008,source/raw,domain_2,false,false,0,false
n00009,source/raw,domain_2,false,false,0,false
n00010,source/raw,domain_3,false,false,0,false
n00011,source/raw,domain_3,false,false,0,false
n00012,source/raw,domain_4,false,false,0,false
n00013,source/raw,domain_5,false,false,0,false
n00014,source/raw,domain_6,false,false,0,false
n00015,source/raw,domain_7,false,false,0,false
n00016,source/raw,domain_7,false,false,0,false
n00017,source/raw,domain_7,false,false,0,false
n00018,source/raw,domain_7,false,false,0,false
n00019,source/raw,domain_7,false,false,0,false
n00020,source/raw,domain_8,false,false,0,false
n00021,source/raw,domain_8,false,false,0,false
n00022,source/raw,domain_8,false,false,0,false
n00023,source/raw,domain_9,false,false,0,false
n00024,source/raw,domain_10,false,false,0,false
n00025,source/raw,domain_11,false,false,0,false
n00026,source/raw,domain_11,false,false,0,false
n00027,source/raw,domain_12,false,false,0,false
n00028,source/raw,domain_12,false,false,0,false
n00029,source/raw,domain_13,false,false,0,false
n00030,staging/extract,domain_7,false,false,0,false
n00031,staging/extract,domain_7,false,false,0,false
n00032,staging/extract,domain_7,false,false,0,false
n00033,staging/extract,domain_9,false,false,0,false
n00034,staging/extract,domain_1,false,false,0,false
n00035,staging/extract,domain_1,false,false,0,false
n00036,staging/extract,domain_8,false,false,0,false
n00037,staging/extract,domain_8,false,false,0,false
n00038,staging/extract,domain_8,false,false,0,false
n00039,staging/extract,domain_11,false,false,0,false
n00040,staging/extract,domain_5,false,false,0,false
n00041,staging/extract,domain_6,false,false,0,false
n00042,staging/extract,domain_10,false,false,0,false
n00043,staging/extract,domain_4,false,false,0,false
n00044,staging/extract,domain_2,false,false,0,false
n00045,staging/extract,domain_2,false,false,0,false
n00046,staging/extract,domain_2,false,false,0,false
n00047,staging/extract,domain_2,false,false,0,false
n00048,staging/extract,domain_2,false,false,0,false
n00049,staging/extract,domain_3,false,false,0,false
n00050,staging/extract,domain_12,false,false,0,false
n00051,intermediate/join,domain_1,false,false,0,false
n00052,intermediate/join,domain_2,false,false,0,false
n00053,intermediate/aggregate,domain_2,false,false,0,false
n00054,intermediate/join,domain_14,false,false,0,false
n00055,intermediate/join,domain_14,false,false,0,false
n00056,intermediate/join,domain_14,false,false,0,false
n00057,intermediate/join,domain_14,false,false,0,false
n00058,intermediate/join,domain_14,false,false,0,false
n00059,intermediate/join,domain_14,false,false,0,false
n00060,intermediate/join,domain_14,false,false,0,false
n00061,intermediate/join,domain_14,false,false,0,false
n00062,intermediate/join,domain_14,false,false,0,false
n00063,intermediate/join,domain_14,false,false,0,false
n00064,intermediate/join,domain_14,false,false,0,false
n00065,intermediate/join,domain_14,false,false,0,false
n00066,intermediate/join,domain_14,false,false,0,false
n00067,intermediate/aggregate,domain_14,false,false,0,false
n00068,intermediate/features,domain_14,false,false,0,false
n00069,intermediate/features,domain_14,false,false,0,false
n00070,intermediate/filter,domain_14,false,false,0,false
n00071,intermediate/filter,domain_14,false,false,0,false
n00072,intermediate/features,domain_14,false,false,0,false
n00073,intermediate/filter,domain_14,false,false,0,false
n00074,mart/model_ready,domain_14,false,false,0,false
n00075,mart/inference_input,domain_14,false,false,0,false
n00076,mart/training_input,domain_14,false,false,0,false
n00077,mart/inference_lookup,domain_14,false,false,0,false
n00078,mart/inference_lookup,domain_14,false,false,0,false
n00079,mart/inference_lookup,domain_14,false,false,0,false
n00080,mart/inference_lookup,domain_14,false,false,0,false
n00081,mart/inference_lookup,domain_14,false,false,0,false
n00082,mart/inference_lookup,domain_14,false,false,0,false
n00083,mart/inference_lookup,domain_14,false,false,0,false
n00084,mart/inference_lookup,domain_14,false,false,0,false
n00085,mart/inference_lookup,domain_14,false,false,0,false
n00086,mart/inference_lookup,domain_14,false,false,0,false
