project,project_id,snapshots,date_start,date_end,span_days,span_years,nodes_first,nodes_last,nodes_min,nodes_max,nodes_peak_date,edges_first,edges_last,edges_min,edges_max,node_growth_multiple,edge_growth_multiple,net_contraction_from_peak_pct,drift_events,drift_events_per_year,median_snapshot_gap_days,max_snapshot_gap_days
tconbeer/gitlab-analytics-sqlfmt,tconbeer__gitlab-analytics-sqlfmt,56,2018-10-07,2025-10-17,2567,7.028,3,2167,3,2168,2022-04-29,1,2176,1,2176,722.33,2176.0,0.0,4,0.57,30.0,468.0
mattermost/mattermost-data-warehouse,mattermost__mattermost-data-warehouse,55,2020-01-13,2025-01-17,1831,5.013,16,235,16,301,2023-02-27,14,369,14,510,14.69,26.36,21.9,7,1.4,29.0,125.0
cal-itp/data-infra,cal-itp__data-infra,53,2022-04-26,2026-07-27,1553,4.252,74,620,74,643,2026-07-03,105,854,105,890,8.38,8.13,3.6,11,2.59,29.0,42.0
fivetran/dbt_zendesk,fivetran__dbt_zendesk,53,2020-08-20,2026-06-22,2132,5.837,27,98,27,98,2026-03-26,34,156,34,156,3.63,4.59,0.0,9,1.54,32.5,121.0
mitodl/ol-data-platform,mitodl__ol-data-platform,51,2022-07-08,2026-08-04,1488,4.074,8,662,8,662,2026-08-04,0,1132,0,1132,82.75,,0.0,16,3.93,29.5,42.0
patkearns10/dbt_workspace,patkearns10__dbt_workspace,50,2021-02-06,2026-06-22,1961,5.369,6,527,6,530,2025-12-17,1,866,1,867,87.83,866.0,0.6,12,2.24,33.0,105.0
jyablonski/nba_elt_dbt,jyablonski__nba_elt_dbt,48,2021-10-21,2026-07-25,1737,4.756,33,122,33,122,2026-07-25,34,219,34,219,3.7,6.44,0.0,9,1.89,30.0,102.0
fivetran/dbt_quickbooks,fivetran__dbt_quickbooks,47,2021-02-12,2026-07-13,1977,5.413,33,144,33,144,2026-07-13,34,208,26,208,4.36,6.12,0.0,3,0.55,29.5,280.0
fivetran/dbt_fivetran_log,fivetran__dbt_fivetran_log,44,2020-07-23,2026-04-02,2078,5.689,15,20,15,21,2023-03-31,11,25,11,25,1.33,2.27,4.8,6,1.05,30.0,140.0
tuva-health/tuva-core,tuva-health__tuva-core,44,2021-11-26,2026-07-21,1698,4.649,13,1182,12,1182,2026-05-18,22,1883,0,1907,90.92,85.59,0.0,20,4.3,29.0,391.0
fivetran/dbt_jira,fivetran__dbt_jira,41,2020-12-22,2026-06-24,2009,5.5,20,61,19,61,2025-10-28,23,90,23,91,3.05,3.91,0.0,6,1.09,35.0,187.0
DITP-pilotage/pilote-2,DITP-pilotage__pilote-2,40,2023-04-21,2026-07-29,1194,3.269,33,85,33,90,2025-09-02,35,157,35,164,2.58,4.49,5.6,17,5.2,28.0,65.0
CDPVD/cdpvd_dashboards_store,CDPVD__cdpvd_dashboards_store,39,2022-09-06,2026-07-16,1409,3.858,2,103,2,169,2024-10-07,1,121,1,289,51.5,121.0,39.1,11,2.85,33.0,101.0
Sciance-Inc/core.dashboards_store,Sciance-Inc__core.dashboards_store,39,2022-09-06,2026-08-04,1428,3.91,2,208,2,208,2026-08-04,1,374,1,375,104.0,374.0,0.0,14,3.58,31.5,115.0
elementary-data/dbt-data-reliability,elementary-data__dbt-data-reliability,39,2022-01-23,2026-06-17,1605,4.394,7,30,7,30,2023-05-31,6,17,6,29,4.29,2.83,0.0,7,1.59,31.5,189.0
fivetran/dbt_shopify,fivetran__dbt_shopify,39,2020-09-20,2026-07-29,2138,5.854,8,264,8,264,2026-03-31,7,347,7,347,33.0,49.57,0.0,8,1.37,36.5,344.0
prefeitura-rio/queries-rj-sms,prefeitura-rio__queries-rj-sms,39,2022-10-18,2026-08-03,1384,3.789,2,823,2,823,2026-08-03,1,1020,1,1020,411.5,1020.0,0.0,15,3.96,29.0,270.0
TEAMSchools/teamster,TEAMSchools__teamster,38,2023-08-12,2026-08-04,1088,2.979,276,1370,276,1370,2026-08-04,297,1782,297,1782,4.96,6.0,0.0,1,0.34,30.0,33.0
ccao-data/data-architecture,ccao-data__data-architecture,37,2023-08-25,2026-08-04,1075,2.943,27,145,27,145,2026-08-04,0,0,0,0,5.37,,0.0,0,0.0,29.0,49.0
datacoves/balboa,datacoves__balboa,37,2021-11-24,2026-03-20,1577,4.318,2,36,2,36,2025-04-10,1,23,1,23,18.0,23.0,0.0,3,0.69,35.5,109.0
dbt-labs/dbt-project-evaluator,dbt-labs__dbt-project-evaluator,37,2022-01-31,2026-06-12,1593,4.361,23,45,22,45,2026-04-09,17,45,17,46,1.96,2.65,0.0,4,0.92,33.0,197.0
edanalytics/edu_edfi_source,edanalytics__edu_edfi_source,37,2022-11-29,2026-08-03,1342,3.674,128,308,128,308,2026-07-10,80,192,80,192,2.41,2.4,0.0,2,0.54,34.0,92.0
fivetran/dbt_stripe,fivetran__dbt_stripe,37,2020-06-10,2026-07-21,2232,6.111,10,69,10,69,2026-03-18,11,96,8,96,6.9,8.73,0.0,16,2.62,41.5,223.0
fivetran/dbt_hubspot_source,fivetran__dbt_hubspot_source,36,2020-07-09,2025-07-29,1846,5.054,36,112,36,112,2025-04-17,3,56,3,56,3.11,18.67,0.0,0,0.0,34.0,161.0
fivetran/dbt_stripe_source,fivetran__dbt_stripe_source,36,2020-06-10,2025-07-30,1875,5.133,13,44,13,44,2025-03-13,0,22,0,22,3.38,,0.0,0,0.0,45.0,139.0
