field,median,n,min,q25,mean,q75,max,sd
projects,2,,,,,,,
snapshots,106,,,,,,,
cumulative_years,9.046,,,,,,,
observation_window_start,2020-01-13,,,,,,,
observation_window_end,2026-05-08,,,,,,,
drift_events,17,,,,,,,
drift_threshold_pct,20.0,,,,,,,
drift_descriptors,"D3_alg_conn,D4_cycle_rank_norm",,,,,,,
excluded_fields,"D1_csi,D1_n_comm",,,,,,,
median_snapshot_gap_days,29.0,,,,,,,
max_snapshot_gap_days,125.0,,,,,,,
N,288.0,106.0,16.0,220.0,318.3018867924528,375.0,631.0,154.8463551740622
M,429.5,106.0,14.0,305.0,401.1509433962264,491.5,756.0,172.05778610980175
D2_max_gini,0.7753684332487866,106.0,0.5056455571919489,0.7482837521053625,0.7752983290706739,0.8436697237483027,0.8795989125019826,0.08998924908074837
D3_alg_conn,0.0427736497210546,106.0,0.008767067417648,0.024397760393789124,0.055306294802340804,0.0662803944353954,0.4258889445162139,0.0653803788355695
D3_fiedler_bim,0.9066680175135846,106.0,0.1954448172204194,0.712761755920772,0.7751278207361625,0.949768512682573,0.9683434917230505,0.2677190764087651
D3_norm_gap,0.0011975559085721,106.0,0.0001168710579513,0.00063700633064065,0.002823758785039528,0.00145756959360515,0.0817192062831005,0.011174008803173565
D4_cycle_rank_norm,0.4231903736304897,106.0,0.0545454545454545,0.31322535211267605,0.4941853969874828,0.7353048892144296,0.8239202657807309,0.21454850591573926
